Name der Klinik,Message,bewertungen,Title,Datum der Bewertung,fachbereich,Gesamtzufriedenheit,Textuell Gesamtzufriedenheit,Qualität der Beratung,Textuell Qualität der Beratung,Mediz. Behandlung,Textuell Mediz. Behandlung,Verwaltung und Abläufe,Textuell Verwaltung und Abläufe,Ausstattung und Gestaltung,Textuell Ausstattung und Gestaltung,Pro,Kontra,Krankheitsbild,Privatpatient,Erfahrungsbericht,Nutzername,Berichtet als,Behandlungsjahr,Daumen
Klinik Fallingbostel,,125 Bewertungen,Super Rehaklinik,18.02.2016,Lungenheilkunde,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,6,sehr zufrieden,alles,nichts,"COPD, Sarkoidose",nein,"Diese Rehaklinik kann man nur weiterempfehlen. Mein Mann war dort 3 Wochen zur Reha und ich war mit als Begleitperson. Es hat alles gepaßt. Ärzte super, Therapeuten perfekt und das Essen. Man kann alles nur loben. Er würde sofort wieder dort eine Reha machen.",helpatti,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2016,Daumen hoch
HELIOS Klinik Cuxhaven,Diese Bewertung geht nicht in die Gesamtbewertung ein,64 Bewertungen,Empfehlenswerte urologische Abteilung,18.06.2011,Urologie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Kein Info,Kein Info,"OP-/Chefarzt, Ärzte-Team, Pflegepersonal",,ja,,"Zu meinem Aufenthalt in der Abt. 3b – Urologie, v. 9.6. – 15.6. 2011 anlässlich meiner BPH-Beschwerden gibt es nur positives zu berichten. Für urologische Operationen, wie in meinem Falle kann ich den Chefarzt und sein Team nur empfehlen, dies betrifft zum einen die persönlich ansprechende Betreuung wie auch die hervorragend verlaufende OP selbst. Meinen Dank auch an das immer bemühte Pflegepersonal, man hatte das Gefühl rundum aufmerksam versorgt zu sein.",nautiker1022,berichtet als Patient,Jahr der Behandlung: 2011,Daumen hoch
HEH Herzogin Elisabeth Hospital,Diese Bewertung geht nicht in die Gesamtbewertung ein,82 Bewertungen,noch immer keine Diagnose seit über 1 Woche,23.09.2009,Innere,0,unzufrieden,2,weniger zufrieden,2,weniger zufrieden,2,weniger zufrieden,Kein Info,Kein Info,sie hat Telefon,,nein,,a tut sich nichts in Sache Diagnose.Ärzte sind schneller weg als Verkäufer im Baumarkt.,gogi,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2009,Kein Info
DIAKOVERE Annastift,Diese Bewertung geht nicht in die Gesamtbewertung ein,83 Bewertungen,Das Kreuz mit dem Kreuzband,24.11.2012,Orthopädie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Kein Info,Kein Info,Alles,Keines,Kreuzbandriss,nein,Hallöchen! ,kreuzband2,berichtet als Patient,Jahr der Behandlung: 2012,Daumen hoch
DIAKOVERE Friederikenstift,Diese Bewertung geht nicht in die Gesamtbewertung ein,93 Bewertungen,"Friederikenstift durchaus gut, aber Station Unfallchirurgie wenn möglich meiden.",24.10.2013,Unfallchirurgie,2,weniger zufrieden,2,weniger zufrieden,4,zufrieden,4,zufrieden,Kein Info,Kein Info,andere Stationen positive Erfahrungen,Personal nicht freundlich,Fuß gebrochen,nein,"Ich war zweimal krankheitshalber im Friederikenstift aufgenommen. Einige Monate im Sommer 2012 und einen Monat (Februar) in 2013. Ich habe unterschiedliche Erfahrungen auf verschiedenen Stationen gemacht, aber auf der Station Unfallchirurgie waren diese negativ, zumal dort viel unfreundliches Personal (natürlich nicht jede Krankenschwester) tätig ist. Selbstverständlich weiß ich, daß jeder gestresst sein kann, aber wenn gestresste Krankenschwestern freundlich sind und andere unfreundlich, die regelmäßig barsch Anweisungen geben (Kommandostimme), oder nicht behilflich sind, dann stimmt doch etwas nicht. Auch der Chefartzt ist nicht empatisch. Ich habe mich letztendlich schriftlich beschwert und wie wurde reagiert? Keine Rückmeldung von der Beschwerdebeauftragten! Erst nach vier Monaten, nach meinem zweiten Brief kam eine Rückantwort: bitte entschuldigen Sie die lange Wartezeit wegen Krankheit und Urlaub(!). Aus dem weiteren Briefwechsel entstand bei mir der Eindruck Beschwerden werden nicht immer Ernst genommen.  Facit: Friederikenstift durchaus gut, aber Station Unfallchirurgie wenn möglich meiden.",Jacob65,berichtet als Patient,Jahr der Behandlung: 2012&2013,Daumen runter
Klinikum Emden,Diese Bewertung geht nicht in die Gesamtbewertung ein,52 Bewertungen,Schöne Geburt im Emder Krankenhaus,01.12.2008,Entbindung,6,sehr zufrieden,4,zufrieden,6,sehr zufrieden,4,zufrieden,Kein Info,Kein Info,Alles,Nichts,nein,ja,"Ich kam mit einem Blasensprung in das Emder Krankenhaus. Mein Mann und ich wurden von Anfang an sehr gut und kompetent betreut. Während der Geburt stand die ganze Zeit eine Habamme und eine Ärztin bereit. Die Habamme ( Janna Ruping) die mich während der Geburt begleitet hat, war eine wirklich sehr nette und freundliche Person. Sie hat einen stets ermutigt und hatte immer einen netten Spruch parat. War wirklich mehr als zufrieden mit ihr, und auch mit der Ärztin (Frau Teckenburg). Alles in allem kann ich nur gutes über den Kreissaal und die Wöchnerinstation berichten. Für eine weitere Geburt würde ich auf alle Fälle immer wieder in das Emder Krankenhaus gehen.",Tomke2008,berichtet als Patient,Jahr der Behandlung: 2008,Kein Info
HELIOS Klinikum Hildesheim GmbH,,109 Bewertungen,Super Team der Kinder Station,20.02.2015,Kindermedizin,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,"
",,Pneumonie,nein,"Ich war mit meinen Sohn (3,5 jahre) auf der Kinder Station und wir waren da sehr zufrieden. Das Team ist super nett auch die Ärzte waren total toll auch im Umgang mit Mutter und Kind.",penny21,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2015,Daumen hoch
AGAPLESION EV. KLINIKUM SCHAUMBURG,Diese Bewertung geht nicht in die Gesamtbewertung ein,92 Bewertungen,Krankenhaus mit persönlicher Note,10.04.2012,Gefäßchirurgie,4,zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,Kein Info,Kein Info,viel Zeit für Patientengespräche,keine,nein,,Auf Empfehlung habe ich mich an das Evangelische Krankenhaus Bethel in Bückeburg gewandt und kurzfristig ein Termin zur Voruntersuchung erhalten. Dieser Termin wurde zeitgerecht eingehalten. Das Ärzteteam hat eine gründliche und umfangreiche Untersuchung durchgeführt und mich aufgeklärt. Ein OP-Termin wurde kurzfristig vereinbart.,Ostmann,berichtet als Patient,Jahr der Behandlung: 2012,Daumen hoch
Asklepios Fachklinikum Tiefenbrunn,Diese Bewertung geht nicht in die Gesamtbewertung ein,96 Bewertungen,Das Therapiekonzept der Konfrontation sollte ein Auslaufmodell werden,07.05.2014,Psychiatrie,0,unzufrieden (Das Konzept ist zu hart; der Patient ist entmündigt; kritische Anmerkungen führen zur Zerrüttung des therapeutischen Verhältnisses),2,weniger zufrieden (Es wurde zu viel subtil gearbeitet; dagegen kann man sich kaum zur Wehr setzen.),0,"unzufrieden (Als Kind wurde ich im Krankenhaus traumatisiert und die Klinik wusste um meine panische Angst vor Spritzen. Sie haben dennoch eine Praktikantin an mir üben lassen, so dass ich retraumatisiert wurde.)",6,"sehr zufrieden (Immer freundlich, immer bemüht, sehr verständnisvoll)",Kein Info,Kein Info,Die Pfelge war hervorragend,"Sie führen Patienten immer wieder in Fortbildungen einem breiten Zuschauerkreis  vor, dabei wird die Anonymität nicht gewahrt.","PTB, Persönlichkeitsstörung, Depression",ja,"In TB kommt sowohl die die überaus schmerzhafte sowie demütigende Konfrontationstechnik als auch Psychagogik zum Einsatz, ganz gleich, ob man sich in einer tiefen Depression befindet oder traumatisiert ist. Verfahren, die nicht für jeden gut sind! Als ob ein Zahnarzt rücksichtslos auf entzündeten Nerven herum bohrt. Durch subtile Lenkung werden die Patienten zu den Zielen geführt, die TB für richtig hält. Man wird entmündigt! Keine Transparenz und schon gar keine Einbeziehung in Therapieziele. Kritik unerwünscht.",Samara,berichtet als Patient,Jahr der Behandlung: 2011,Daumen runter
Sana Klinikum Hameln-Pyrmont,,305 Bewertungen,Notaufnahme,30.05.2018,Handchirurgie,4,zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,6,sehr zufrieden,Sehr kompetenter Arzt,Längere wartezeit,Platzwunden nach Treppensturz,nein,"Ich bin nach einem Treppensturz vom Notarzt nach Hameln in die Notaufnahme gebracht worden, gegen 21 Uhr.",Susi282,berichtet als Patient,Jahr der Behandlung: 18,Daumen hoch
DRK-Clementinenhaus,,172 Bewertungen,Das Clementinenhaus - die richtige Entscheidung!!,24.11.2017,Orthopädie,6,sehr zufrieden,4,zufrieden,6,sehr zufrieden,4,zufrieden,6,sehr zufrieden,"Nettes hilfsbereites Personal, schöne Zimmer",,Kalk-Schulter,nein,Ich war insgesamt 3 Tage zur arthroskopischen Behandlung meiner Kalkschulter im Clementinenhaus. Die OP wurde von Dr. Agneskircher aus der Praxis GO:H durchgeführt.,Hann2017,berichtet als Patient,Jahr der Behandlung: 2017,Daumen hoch
Klinik Fallingbostel,,125 Bewertungen,In 4 Wochen fast zurück in mein Leben,18.02.2016,Kardiologie,6,sehr zufrieden (Ich habe mich SEHR gut aufgehoben gefühlt.),6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,JEDER war hilfsbereit und hat versucht sich seinem Rahmen entsprechend zu kümmern,"Assistenzärzte, die der deutschen Sprache (zu) wenig mächtig sind","Myocarditis, Tachycardie, Z.n. Pericarderguss und Pneumonie",nein,Reha vom 11.01.-09.02.2016,Kir,berichtet als Patient,Jahr der Behandlung: 2016,Daumen hoch
HELIOS Klinik Cuxhaven,Diese Bewertung geht nicht in die Gesamtbewertung ein,64 Bewertungen,Katastrophe,23.05.2011,Gastrologie,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,Kein Info,Kein Info,optischer Eindruck der Krankenzimmer,Kontakt zu den behandelnden Ärzten,nein,,Meine Mutter wurde hier vor 1 Woche mit schwersten Durchfällen und Darmblutungen eingeliefert! Durch den Blutverlust war Sie zusammengebrochen und schwer gestürzt. Einlieferung erfolgte über den Notarzt in Cuxhaven mit RTW.,ankmorphork,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2011,Daumen runter
HEH Herzogin Elisabeth Hospital,Diese Bewertung geht nicht in die Gesamtbewertung ein,82 Bewertungen,Gut geraten!,18.05.2009,Orthopädie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Kein Info,Kein Info,Alles,Nichts,ja,,"Ich kann über diese Klinik, außer vielleicht über den monotonen Geschmack des Essens, mich nicht beschweren. Mir wurde vor jeder Behandlung alles genaustens erklärt, lag vielleicht auch daran, dass ich immer alles hinterfage. Auch in der Beratungs des Rehaortes wurde ich beraten, wobei das nicht wirklich eine GUTE Wahl war. Medizinisch bin ich samit rundum mit dem Team zufrieden. Die Station 4 hat wunderbare Schwestern, die zum größten Teil super die Spritzen setzten können. ",Eule*01,berichtet als Patient,Jahr der Behandlung: 2009,Kein Info
DIAKOVERE Annastift,Diese Bewertung geht nicht in die Gesamtbewertung ein,83 Bewertungen,Super Klasse Krankenhaus !!!!,21.10.2012,Orthopädie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Kein Info,Kein Info,Schwestern Ärzte und Physiotherapeuten,Toilette übern Flur,Hüftdisplasie,nein,Meine zweite Erfahrung hat mich auch nicht getäuscht.,Paketschubser,berichtet als Patient,Jahr der Behandlung: 2012,Daumen hoch
DIAKOVERE Friederikenstift,Diese Bewertung geht nicht in die Gesamtbewertung ein,93 Bewertungen,Eigentlich war ich ganz zufrieden ABER..,10.04.2013,Entbindung,4,zufrieden,4,zufrieden,4,zufrieden,6,sehr zufrieden,Kein Info,Kein Info,Nette Schwestern und Ärzte,Zimmer und Bad,,nein,Ich selbst habe dort mein Kind per geplanten KS (mediz. notwendig) zur Welt gebracht. Das OP-Team war sehr nett und hat mich super betreut vor und während der OP. ,Mama1313,berichtet als Patient,Jahr der Behandlung: 2013,Daumen hoch
Klinikum Emden,Diese Bewertung geht nicht in die Gesamtbewertung ein,52 Bewertungen,Mandel OP,30.04.2008,Hals-Nasen-Ohren,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Kein Info,Kein Info,Kompetent und sehr freundlich,,nein,,"Letztes Jahr wurden mir die Mandeln entnommen, weil es ja scheinbar so mußte...",CoSie,berichtet als Patient,Jahr der Behandlung: 2007,Kein Info
HELIOS Klinikum Hildesheim GmbH,,109 Bewertungen,Im Bereich Kardiologie unschlagbar,10.02.2015,Kardiologie,6,sehr zufrieden,6,sehr zufrieden,6,"sehr zufrieden (Das OP- Personal ist super, vielen Dank für Alles)",6,sehr zufrieden (Liebe Grüße an Frau Bergmann),6,sehr zufrieden,"Die Ärzte nehmen einem die Angst, das Personal sorgt rundum für das Wohlbefinden",Keine,EPU,nein,"Tolle Betreuung, kompetente Äzte, fürsorgliches Personal. Immer wieder.",Kestin70,berichtet als Patient,Jahr der Behandlung: 2015,Daumen hoch
AGAPLESION EV. KLINIKUM SCHAUMBURG,Diese Bewertung geht nicht in die Gesamtbewertung ein,92 Bewertungen,"2 Geburten, 2 Erfahrungen",30.09.2011,Entbindung,2,weniger zufrieden,4,zufrieden,4,zufrieden,4,zufrieden,Kein Info,Kein Info,"Kompetente Ärzte, freundliche Schwestern","Sehr (!) unfreundliche Hebamme, eine unfreundliche Ärztin",nein,ja,Ich habe meinen Sohn (7) und meine Tochter (2) in Bückeburg zur Welt gebracht.,Terryfen,berichtet als Patient,Jahr der Behandlung: 2006 & 2009,Kein Info
Asklepios Fachklinikum Tiefenbrunn,Diese Bewertung geht nicht in die Gesamtbewertung ein,96 Bewertungen,Aufenthalt im Schwidderhaus,25.04.2014,Psychiatrie,4,zufrieden,6,sehr zufrieden,4,zufrieden,6,sehr zufrieden,Kein Info,Kein Info,Ganz tolles Pflegeteam / Fähige Ärzte,Die Körpertherapeutin,"Depressionen, Essstörungen, Traumata",nein,Behandlungszeit Jan. - Apr. 2014,Marcus012,berichtet als Patient,Jahr der Behandlung: 2014,Daumen hoch
Sana Klinikum Hameln-Pyrmont,,305 Bewertungen,die gynäkologische Onkologie ist einfach Spitze,29.05.2018,Frauen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,"man bekommt das Gefühl, dass man von Engeln umgeben ist",nicht ein bißchen,Ovarialkarzinum mit Rezidiv,ja,"Seit 5 1/2 Jahren werde ich in der gynäkologischen Onkologie durch Chemos behandelt. Alle Mitarbeiter sind sehr freundlich und stellen sich auf meine persönlichen Gefühle, Wünsche und Stimmungen empathisch ein. Nachdem ich einige Chemos nicht mehr vertragen habe, wurde immer intensiv nach Alternativen gesucht und gefunden. Mir wurden die Nebenwirkungen immer einfühlsam erläutert. Ich habe nicht das Gefühl, dass man mich als Patientin sieht, sondern als Freundin. Ich hoffe, dass mich die gynäkologische Onkologie weiterhin ein Bestandteil der Klinik bleibt und mich in meinem Kampf gegen den Krebs unterstützen kann.",Arthos12,berichtet als Patient,Jahr der Behandlung: laufend,Daumen hoch
DRK-Clementinenhaus,,172 Bewertungen,Knie OP von Dr. Kristian Kley,08.11.2017,Orthopädie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,"Fachwissen,Sauberkeit.Freundlichkeit",nichts,Knieumstellung,nein,Ich wurde am 27.10.2017 von Dr Kley am Knie oppariert,StefanEifel,berichtet als Patient,Jahr der Behandlung: 2017,Daumen hoch
Klinik Fallingbostel,,125 Bewertungen,Patientenbericht nach 3 Wochen Reha,02.01.2016,Lungenheilkunde,6,sehr zufrieden,4,zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,"Essen, professionelle medizinische Betreuung",,Mukoviszidose Aufenthalt nach Lungentransplantation,nein,sehr gute professionelle medizinische Betruung,Fehri14,berichtet als Patient,Jahr der Behandlung: 2015/16,Daumen hoch
HELIOS Klinik Cuxhaven,Diese Bewertung geht nicht in die Gesamtbewertung ein,64 Bewertungen,Nie wieder,19.04.2011,Entbindung,0,unzufrieden,0,unzufrieden (Man müsste deutsch sprechen können),0,unzufrieden (Gynäkologe super),0,unzufrieden,Kein Info,Kein Info,Wochenbettstation,Personal im Kreisssaal,nein,ja,"Ich MUSSTE im Dezember 2010 meine Tochter, erstes Kind, in Cuxhaven zur Welt bringen. Ich hatte eigentlich ein anderes Krankenhaus gewählt, musste aber auf Anordnung meines Frauenarztes sofort ins KH. Dort wurde die Geburt mit Hilfe eines Gels eingeleitet. Die Wehen gingen sofort los. 4 Stunden später konnte ich es vor Schmerzen nicht mehr aushalten. Die Hebamme im Dienst sagte mir jedoch immer wieder es wären keine Wehen, ich solle mich ins Bett legen und morgen früh zur nächsten Einleitung wieder kommen. Zum Glück war dann Schichtwechsel und die Hebamme hat mich gleich für die PDA unterschreiben lassen. Die Anästhesisten kamen. Ich habe tierische Angst vor Spritzen und eine PDA war für mich die letzte Lösung. Der Arzt hat sich 3 Mal verstochen und war sich dann noch nicht mal sicher ob die PDA sitzt. Er sprach nur gebrochen deutsch. Legte mir unötig einen neuen Zugang (der Dritte mittlerweile). Mein Freund musste aus dem Zimmer. Als sie wirkte konnte ich 6 Stunden Kraft sammeln. Wieder Schichtwechsel eine Stunde vor Entbindung. Eine ziemlich unkompetente Hebammenschülerin versuchte sich an mir. Wie im falschen Film! Die Ärztin (auch nur schlechte Deutschkenntnisse) wollte kurz vor Schluss ohne Grund einen Kaiserschnitt.",AST485,berichtet als Patient,Jahr der Behandlung: 2010,Daumen runter
HEH Herzogin Elisabeth Hospital,Diese Bewertung geht nicht in die Gesamtbewertung ein,82 Bewertungen,"Mit Schmerzen und Depressionen wieder nach Hause geschickt, angeblich ohne Befund !",23.08.2008,Orthopädie,2,weniger zufrieden,0,unzufrieden,0,"unzufrieden (Der Arzt hat gelogen, er hat behauptet meine Mutter wollte freiwillig gehen, dabei hat er ihr die Entlassungpapiere auf den Tisch gelegt. Sie hat auch nichts Unterschrieben, worauf stand das sie selber die KLinik verlassen will.)",2,weniger zufrieden (wurde zu Pontius und Pilatius geschickt um Röntgen und MRT Bilder zu bekommen und dann wollte man erst noch 20 € für die CD bekommen.),Kein Info,Kein Info,Das Pflegepersonal war sehr nett.,"Ärzte arrogant und kühl, wenig Untersuchungen, wenig Gesprächsbereit.",nein,,"Ich bin schockiert. Meine Mutter wurde mit dem Notarzt in die KLinik gebracht und hatte das weiter gegeben, was der Orthopäde diagnostizierte. Eingeklemmter Ischias Nerv. Darauf hin wurde sie, ohne nochmals genau untersucht zu werden, 14 Tage lang in den Ischias Nerv gespritz. Einmal war sie in einer Röhre, wo aber nichts gesehen wurde. Der Arzt war sehr arrogant und kühl und obwohl meine Mutter unter furchtbaren Schmerzen litt, hat er sie entlassen. Als wir darauf sehr empört reagierten, bot er ihr an, doch das Wochende nochmal zu bleiben um Montag weiter zu spritzen. Das lehnte sie ab. In ihrem Entlassungsbericht stand das man keinen Befund hat, es gab keine Diagnose ausser das sie durch den Tod meines Vaters ( ca. 3 Monate davor ) schwere Depressionen hätte.",Jenny1975,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2008,Kein Info
DIAKOVERE Annastift,Diese Bewertung geht nicht in die Gesamtbewertung ein,83 Bewertungen,Sehr gute Klinik,19.09.2012,Orthopädie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Kein Info,Kein Info,"Sehr nette Schwestern und Ärzte,tolles ITS Personal, sehr liebevolle Betreuung",Toiletten über den Flur,Arthroskopie Schulter,nein,"Bei mir wurde eine Arthroskopie in der Schulter durchgeführt. In dem AOZ ist man bei solchen Sachen gut aufgehoben. Ich musste nicht lange warten, erst kam der Narkosearzt und kurz danach der Orthopäde. Es wurde noch eine Untersuchung durchgeführt, und dann ging es auch gleich danach in den OP. Auch dort wurde man sehr gut aufgenommen. Die Ärzte und Schwestern verstehen es, einem die Angst zu nehmen. Nach der OP kam ich wieder auf mein Zimmer, und habe dort gleich Frühstück bekommen. Der Orthopäde kam dann auch noch einmal zur Untersuchung nach der OP. Diese Fürsorge und gute Behandlung von den Schwestern und Ärzten ist einfach nur hervorragend. Man ist dort so gut aufgehoben, dass man kaum denkt man ist in einem Krankenhaus.",Loewe45,berichtet als Patient,Jahr der Behandlung: 2012,Daumen hoch
DIAKOVERE Friederikenstift,Diese Bewertung geht nicht in die Gesamtbewertung ein,93 Bewertungen,Doppelballonenteroskopie Untersuchung,02.04.2013,Gastrologie,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,Kein Info,Kein Info,Pflegepersonal,Arzt,Dünndarmverschluss,ja,Bei mir sollte eine Doppelballonenteroskopie (Untersuchung des Dünndarms) durchgeführt werden.,oliver6,berichtet als Patient,Jahr der Behandlung: 2013,Daumen runter
Klinikum Emden,Diese Bewertung geht nicht in die Gesamtbewertung ein,52 Bewertungen,Kann denn so etwas wahr sein?,11.01.2008,Unfallchirurgie,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,Kein Info,Kein Info,ich wüßte nichts,"lange Wartezeit, kein Arzt zu sprechen, immer wieder andere Diagnosen",nein,, ,zyconie,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2008,Kein Info
HELIOS Klinikum Hildesheim GmbH,,109 Bewertungen,Absolut nicht zu empfehlen wenn es einem wirklich schlecht geht und man Hilfe dort erwartet!,29.01.2015,Schmerztherapie,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,Kein Info,Kein Info,"
","Unwissenden Personal, keine Fachärzte, mangelnde/keine Schmerztherapiekenntnisse, ab Nachmittag keiner mehr für einen zuständig, am Wochenende gar niemand","Bandscheibenvorfall, chronische Migräne , Depressionen",nein,Die Schmerztherapie ist absolut nicht zu empfehlen. ,WilkeLoni,berichtet als Patient,Jahr der Behandlung: 2014,Daumen runter
AGAPLESION EV. KLINIKUM SCHAUMBURG,Diese Bewertung geht nicht in die Gesamtbewertung ein,92 Bewertungen,Sehr zu empfehlen,02.08.2011,Frauen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Kein Info,Kein Info,alles,nichts,nein,,Diese Klinik ist sehr zu empfehlen. Pflegepersonal und Ärzte sind sehr kompetent und freundlich.,Martina68,berichtet als Patient,Jahr der Behandlung: 2011,Daumen hoch
Asklepios Fachklinikum Tiefenbrunn,Diese Bewertung geht nicht in die Gesamtbewertung ein,96 Bewertungen,Nicht weiterzuempfehlen,06.04.2014,Psychosomatik,0,"unzufrieden (unzufrieden ist noch zu zufrieden, richtig wäre -> maßlos Enttäuscht)",0,unzufrieden (maßlos Enttäuscht),0,unzufrieden (maßlos Enttäuscht),0,unzufrieden (maßlos Enttäuscht),Kein Info,Kein Info,Der Park der Klinik ist schön,"Betreuung, Therapie, Pflegeteam scheut Arbeitsaufwand","PTBS, Borderline, Esstörung",,Klinik die mit schwierigen Fällen überfordert ist.,Sogni,berichtet als Patient,Jahr der Behandlung: 2014,Daumen runter
Sana Klinikum Hameln-Pyrmont,,305 Bewertungen,Positive Behandlung,29.05.2018,Gefäßchirurgie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,siehe unseren Bericht,nein,Austausch eines vorhandenen Ports,ja,"Wir waren sehr zufrieden mit der Behandlung in diesem Fachbereich. Wir wurden freundlich und kompetent vom Arzt beraten, der sich viel Zeit für uns nahm, damit wir alles verstehen konnten. ",Arthos12,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2018,Daumen hoch
DRK-Clementinenhaus,,172 Bewertungen,Knie OP  vom 29.09.2017,08.10.2017,Orthopädie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Alles bestens,,Knie OP,nein,Ich bin das zweite mal im Clemi  operiert worden und ich bin sehr zufrieden gewesen.  Alle Mitarbeiter  sehr nett und zuvorkommend.Die Schwestern  von Station 1a einfach super.,E.k.2,berichtet als Patient,Jahr der Behandlung: 2017,Daumen hoch
Klinik Fallingbostel,,125 Bewertungen,Jederzeit wieder !!!!,17.11.2015,Lungenheilkunde,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,"Das gesamte Team ( Ärzte,Pfege,Therapie,Empfang,Verwaltung ) super freundlich und hilfsbereit.",Ungepflegte Mitpatienten,Lungenfibrose,nein,"Top Ärzteteam, super Pflegepersonal , ausgezeichnete Therapeuten.",Parfüm,berichtet als Patient,Jahr der Behandlung: 2015,Daumen hoch
HELIOS Klinik Cuxhaven,Diese Bewertung geht nicht in die Gesamtbewertung ein,64 Bewertungen,Nie nie nie wieder,09.04.2011,Chirurgie,0,unzufrieden,0,unzufrieden,4,zufrieden,0,unzufrieden,Kein Info,Kein Info,die Krankenschwestern,Alles andere,nein,,"Totales Chaos, überforderte aber trotzdem nette Krankenschwestern, Ärzte ? Zwischendurch hat man mal einen weißen Kittel gesehen, aber Beratung ? Fehlanzeige.  Ich war schon in mehreren Krankenhäusern aber so etwas wie hier habe ich vorher noch nie erlebt.  Die Zimmer sind allerdings sehr schön, aber leider wird nur der Nachttisch abgewischt und der Fußboden gereinigt. Die Toilettenbrille , na gut ich musste mich ja sowieso übergeben. Sonst hätte ich sie ja auch nicht von unten gesehen ;). Alles in allen besteht in der Reinigung noch Nachhilfebedarf.",angel356,berichtet als Patient,Jahr der Behandlung: 2011,Daumen runter
HEH Herzogin Elisabeth Hospital,Diese Bewertung geht nicht in die Gesamtbewertung ein,82 Bewertungen,Ein sehr zufriedener Patient,22.08.2008,Gefäßchirurgie,6,sehr zufrieden (Sehr gute medizinische Betreuung auf der Station),6,sehr zufrieden (Sehr umfangreiche Beratung vor der Operation),6,sehr zufrieden,6,sehr zufrieden,Kein Info,Kein Info,Das Stationspersonal war sehr zuvorkomment,,nein,,"Medizinische Betreuung  war sehr gut -  sehr guten Kontakt zum behandelnen Arzt -  Zimmer, Verpflegung und sonstige Dienstleistungen (Betreuung auf der Station) war ausgezeichnet",cdp,berichtet als Patient,Jahr der Behandlung: 2008,Kein Info
DIAKOVERE Annastift,Diese Bewertung geht nicht in die Gesamtbewertung ein,83 Bewertungen,Hygienemißstand,16.09.2012,Orthopädie,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,Kein Info,Kein Info,null,alles,staphycoccolus aureus,ja,"Mir wurde ein OSG re. implantiert. Dabei wurde ich mit dem ORSA infiziert, so dass das künstliche Gelenk reimplantiert werden musste. Es folgten insgesamt 20 (i.W. zwanzig) Folge-OP´s. Erst die MHH in Hannover konnte alles in die richtige Bahn bringen. Die Versteifung war aber nicht mehr zu beheben. Es lag daran, dass das Annastift Hannover nicht die Minesthygienestandards beachtete und auch insofern keinerlei Belehrungen vornahm.",Advokatbest,berichtet als Patient,Jahr der Behandlung: 2006,Daumen runter
